Date,Close/Last,Volume,Open,High,Low
04/11/2022,39695,N/A,42108,39845,39293
04/10/2022,42079,N/A,42783,42418,41791
04/09/2022,42786,N/A,42391,42893,42605
04/08/2022,42419,N/A,43612,42468,42129
04/07/2022,43572,N/A,43326,43697,43304
04/06/2022,43297,N/A,45180,43559,42747
04/05/2022,45228,N/A,46654,45512,44417
04/04/2022,46622,N/A,46025,46788,46430
04/03/2022,46110,N/A,45962,46442,45772
04/02/2022,46201,N/A,46366,47212,45641
04/01/2022,46541,N/A,44597,47212,46096
03/31/2022,44525,N/A,47100,45652,44261
03/30/2022,47109,N/A,47470,47438,46980
03/29/2022,47475,N/A,47347,47475,46601
03/28/2022,47350,N/A,47060,47631,47087
03/27/2022,47016,N/A,44739,47561,46672
03/26/2022,44652,N/A,44425,44950,44511
03/25/2022,44380,N/A,43984,44471,44090
03/24/2022,43969,N/A,42738,44400,43883
03/23/2022,42797,N/A,42118,43284,42683
03/22/2022,42145,N/A,42257,42552,41930
03/21/2022,42263,N/A,40855,42490,40893
03/20/2022,40887,N/A,41961,41471,40530
03/19/2022,41988,N/A,41804.4,42301,41804
03/18/2022,41575.3,N/A,40528.3,41998.4,41529.6
03/17/2022,40498.2,N/A,41006.2,40935.6,40272.9
03/16/2022,41003.8,N/A,39160.8,41379.8,40825.1
03/15/2022,39177.4,N/A,38773.8,41701.6,38996.6
03/14/2022,38729.5,N/A,38172.4,39786.1,38658
03/13/2022,38109.1,N/A,39189.3,38294.7,37613.6
03/12/2022,39181.1,N/A,39093.5,39272.3,38733.1
