,Unnamed: 0,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date,positive_tweets,negative_tweets,neutral_tweets,Volume-Change,Quote-Asset-Volume-Change,Open-Close-Change
0,0,35052.97,33513.42,2290.017245,76978314.5320553,35199,1024.932091,2021-07-01,0,0,0,2290.017245,76978314.5320553,-1539
1,1,33517.99,33810.38,2067.782193,68822139.69410346,31324,934.880535,2021-07-02,7477,1482,8830,-222.235052,-8156174.837951839,293
2,2,33788.75,34681.43,1636.163798,56292044.04712406,26629,653.974646,2021-07-03,12093,1736,11601,-431.61839499999996,-12530095.646979406,893
3,3,34685.34,35290.65,1306.070398,46142792.76451367,23008,663.827796,2021-07-04,10213,1498,11376,-330.0934,-10149251.282610387,605
4,4,35280.25,33743.42,2082.537602,70819358.3396932,33860,969.151893,2021-07-05,11820,1677,12484,776.4672039999998,24676565.575179532,-1537
5,5,33708.5,34225.52,1707.63752,58352602.9977764,33746,876.085216,2021-07-06,0,0,0,-374.9000819999999,-12466755.341916807,517
6,6,34208.61,33868.46,1699.225509,58800743.78196873,37126,795.763107,2021-07-07,0,0,0,-8.412010999999893,448140.78419233114,-340
7,7,33863.93,32870.81,2457.235259,80847664.28284597,45959,1227.903892,2021-07-08,0,0,0,758.0097499999999,22046920.500877246,-993
8,8,32868.08,33806.64,1547.332259,51237947.84971557,44628,782.472901,2021-07-09,0,0,0,-909.903,-29609716.433130406,938
9,9,33805.04,33503.04,1153.012134,38826334.88164352,39371,564.974718,2021-07-10,0,0,0,-394.32012499999996,-12411612.96807205,-302
10,10,33501.16,34244.09,1197.253966,40600315.90203328,38568,521.200802,2021-07-11,0,0,0,44.24183199999993,1773981.020389758,743
11,11,34251.44,33089.77,1837.315304,61390007.22488983,47290,884.418351,2021-07-12,0,0,0,640.061338,20789691.322856553,-1162
12,12,33090.5,32727.05,1996.89593,65401060.54266259,43742,1085.869339,2021-07-13,0,0,0,159.58062599999994,4011053.317772761,-363
13,13,32727.72,32818.32,1695.65143,55005172.78343821,41374,854.075332,2021-07-14,0,0,0,-301.2445,-10395887.759224378,91
14,14,32814.57,31870.74,2195.833165,69987495.1850952,46881,1283.162491,2021-07-15,0,0,0,500.1817350000001,14982322.401656993,-944
15,15,31872.07,31374.74,1843.897641,58495919.28858562,43934,937.432244,2021-07-16,576,107,427,-351.935524,-11491575.896509588,-498
16,16,31378.63,31509.98,1369.579999,43195628.15538067,34288,503.365858,2021-07-17,7269,1201,6734,-474.317642,-15300291.133204944,131
