,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date,positive_tweets,negative_tweets,neutral_tweets,Volume-Change,Quote-Asset-Volume-Change,Open-Close-Change,total_tweets,percentage_changes
1,33517.99,33810.38,2067.782193,68822139.69410346,31324,934.880535,2021-07-02,7477,1482,8830,-222.235052,-8156174.837951839,293,17789,0.8741574300845606
2,33788.75,34681.43,1636.163798,56292044.04712406,26629,653.974646,2021-07-03,12093,1736,11601,-431.618395,-12530095.646979406,893,25430,2.6428914949502422
3,34685.34,35290.65,1306.070398,46142792.76451367,23008,663.827796,2021-07-04,10213,1498,11376,-330.0934,-10149251.282610388,605,23087,1.7442527592348815
4,35280.25,33743.42,2082.537602,70819358.3396932,33860,969.151893,2021-07-05,11820,1677,12484,776.4672039999998,24676565.57517953,-1537,25981,-4.356545092509266
15,31872.07,31374.74,1843.897641,58495919.28858562,43934,937.432244,2021-07-16,576,107,427,-351.935524,-11491575.896509588,-498,1110,-1.5624965683120047
16,31378.63,31509.98,1369.579999,43195628.15538067,34288,503.365858,2021-07-17,7269,1201,6734,-474.317642,-15300291.133204944,131,15204,0.4174815790236859
17,31519.62,31782.76,1428.174778,45314004.00391065,30625,526.293,2021-07-18,13998,1712,10529,58.59477900000002,2118375.84852998,263,26239,0.834400922346145
18,31786.78,30828.98,1935.711841,60112385.55411254,35453,739.554305,2021-07-19,14377,2391,12163,507.537063,14798381.550201884,-958,28931,-3.0138315362550094
19,30832.11,29793.63,2982.969645,88808864.57486092,45562,1511.197298,2021-07-20,13521,2862,14550,1047.257804,28696479.020748377,-1039,30933,-3.3698634313383025
20,29795.9,32128.31,3712.687393,116841242.55082545,59579,1772.270575,2021-07-21,17769,2677,18465,729.717748,28032377.97596453,2333,38911,7.829936333522397
21,32148.48,32288.94,2160.164618,69425725.46095881,35438,1034.973581,2021-07-22,14691,2078,14064,-1552.5227750000004,-47415517.08986664,140,30833,0.435479375696767
22,32289.95,33636.26,2144.926074,69989670.1658138,42135,947.220608,2021-07-23,18739,2681,22115,-15.23854399999982,563944.704854995,1347,43535,4.1715766051046845
23,33652.22,34264.68,2469.018466,83715740.84094533,40767,1013.366473,2021-07-24,15437,2362,14332,324.092392,13726070.67513153,612,32131,1.8186021605706846
24,34275.19,35401.94,1727.279399,59467879.92423093,31864,805.649677,2021-07-25,5707,1060,4842,-741.739067,-24247860.9167144,1126,11609,3.285175078533481
25,35403.88,37248.41,7281.061858,278910615.572973,107301,3547.975993,2021-07-26,9592,2220,15679,5553.782459,219442735.64874208,1845,27491,5.21129322548828
26,37250.03,39479.37,5201.987097,195967464.51557487,72932,2369.408594,2021-07-27,6623,1137,6188,-2079.074761,-82943151.05739814,2229,13948,5.983887798211169
27,39469.3,40013.65,6663.970452,265947233.5816349,86353,3785.427502,2021-07-28,7128,1396,6967,1461.9833549999994,69979769.06606004,544,15491,1.3782864150111604
28,40028.89,40035.89,3481.872251,138999257.60724887,50016,1586.212137,2021-07-29,7834,1291,9909,-3182.098201,-126947975.97438604,7,19034,0.017487369747200086
29,40033.89,42230.35,4310.914026,171249348.27940023,62674,2510.69061,2021-07-30,17372,3083,17937,829.0417750000006,32250090.67215136,2197,38392,5.487850418732728
34,38209.9,39734.78,2290.327755,88810466.75848466,47569,1080.773132,2021-08-04,712,133,928,-299.8515510000002,-10543908.006853938,1525,1773,3.991112251013481
